Artist,Role,Release_Title,Year,Genre_Lane,Era,Notes,Source
Kevin Saunderson,Founder/Artist,Label founded (KMS Records),1987,Detroit Techno/House,Legacy,Founded in Detroit; KMS = Kevin Maurice Saunderson,User dossier (2026-02-03)
Reese & Santonio,Original Release,The Sound (KMS 010),1987,Detroit Techno,Legacy,Seminal Detroit techno track; Reese bassline,User dossier (2026-02-03)
Blake Baxter,Original Release,When We Used To Play (KMS 011),1987,Detroit Techno/House (verify),Legacy,Early Detroit catalog,User dossier (2026-02-03)
Inner City,Original Release,Big Fun (KMS 015),1988,Hybrid (Techno/House),Legacy,UK Top 10 crossover via Virgin (per dossier),User dossier (2026-02-03)
Reese (Kevin Saunderson),Original Release,Rock to the Beat (KMS 022),1989,Detroit Techno,Legacy,Saunderson alias,User dossier (2026-02-03)
Tronik House,Original Release,Hardcore Techno (KMS 032),1991,Detroit Techno,Legacy,Harder techno era,User dossier (2026-02-03)
E-Dancer (Kevin Saunderson),Original Release,Pump The Move / Grab The Beat (KMS 033),1991,Detroit Techno,Legacy,Saunderson alias,User dossier (2026-02-03)
Chez Damier,Original Release,Can You Feel It (KMS 035),1992,House,Legacy,MK remix noted in dossier,User dossier (2026-02-03)
Fix (Orlando Voorn),Original Release,Flash (KMS 043),1993,Techno (verify),Legacy,Dutch crossover,User dossier (2026-02-03)
Esser'ay (Kevin Saunderson),Original Release,Forces (KMS 052),1994,Techno (verify),Legacy,Saunderson alias,User dossier (2026-02-03)
Members Of The House,Original Release,Party of the Year (KMS 055),1995,House (verify),Legacy,Detroit house lane,User dossier (2026-02-03)
E-Dancer,Original Release,World Of Deep / Velocity Funk (KMS 061),1997,Techno/House (verify),Legacy,Catalog highlight,User dossier (2026-02-03)
Kenny Larkin,Original Release,Smile (KMS 066),1998,Detroit Techno,Legacy,Detroit legend,User dossier (2026-02-03)
Gary Martin,Original Release,Cosa Caugat (KMS 070),1999,Detroit Techno,Legacy,Detroit techno,User dossier (2026-02-03)
Inner City,Remix,Good Love (Reese Remix) (KMS 076),2001,House/Techno (verify),Legacy,Remix culture,User dossier (2026-02-03)
Kreem,Original Release,Triangle of Love (first KMS release per Saunderson),Year TBD,Techno/House (verify),Legacy,Year/catalog number to confirm,User dossier (2026-02-03)
MK,Original Release,Somebody New (KMS) (verify),Year TBD,House (verify),Legacy,Early KMS work mentioned in dossier,User dossier (2026-02-03)
Dantiez Saunderson,Associated/Artist,30th Anniversary EPs (family collaboration),2017,Techno/House (verify),Modern,Family involvement noted in 30th anniversary releases,User dossier (2026-02-03)
KiNK,Collaborator,30th Anniversary EPs (Idyllic lead),2017,Techno/House/Disco (per dossier),Modern,Collaboration with Kevin Saunderson,User dossier (2026-02-03)
Dubfire,Collaborator,30th Anniversary EPs,2017,Techno/House (verify),Modern,Collaboration noted in dossier,User dossier (2026-02-03)
